date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2020-07-09,0.009467,0.007889,-0.001578,0.007889,14547656.0,14547656.0,13547656.0,13.547656,1,0.5305,0.45,2445
2020-07-10,-0.020986,-0.035264,-0.014278,-0.035264,14242352.0,14242352.0,13242352.0,13.242352,0,0.5303,0.45,2446
2020-07-13,0.01976,0.014016,-0.005745,0.014016,14523787.0,14523787.0,13523787.0,13.523787,1,0.5304,0.5,2447
2020-07-14,0.00384,-0.001165,-0.005005,-0.001165,14579559.0,14579559.0,13579559.0,13.579559,1,0.5306,0.55,2448
2020-07-15,0.012178,0.01494,0.002762,0.01494,14757111.0,14757111.0,13757111.0,13.757111,1,0.5308,0.55,2449
2020-07-16,0.004217,-0.008572,-0.012789,-0.008572,14819341.0,14819341.0,13819341.0,13.819341,1,0.531,0.6,2450
2020-07-17,0.009261,0.000344,-0.008917,0.000344,14956576.0,14956576.0,13956576.0,13.956576,1,0.5312,0.6,2451
2020-07-20,-0.002267,-6.2e-05,0.002204,-6.2e-05,14922675.0,14922675.0,13922675.0,13.922675,0,0.531,0.55,2452
2020-07-21,-0.008098,-0.014844,-0.006746,-0.014844,14801834.0,14801834.0,13801834.0,13.801834,0,0.5308,0.55,2453
2020-07-22,-0.01111,-0.00757,0.00354,-0.00757,14637385.0,14637385.0,13637385.0,13.637385,0,0.5306,0.55,2454
2020-07-27,-0.024783,-0.006255,0.018528,-0.006255,14274629.0,14274629.0,13274629.0,13.274629,0,0.5303,0.5,2455
2020-07-28,-0.010004,-0.011691,-0.001686,-0.011691,14131820.0,14131820.0,13131820.0,13.13182,0,0.5301,0.45,2456
2020-07-29,0.0024,-0.002952,-0.005352,-0.002952,14165739.0,14165739.0,13165739.0,13.165739,1,0.5303,0.5,2457
2020-07-30,-0.006161,-0.017023,-0.010862,-0.017023,14078460.0,14078460.0,13078460.0,13.07846,0,0.5301,0.45,2458
2020-07-31,0.001323,-0.025778,-0.027101,-0.025778,14097085.0,14097085.0,13097085.0,13.097085,1,0.5303,0.45,2459
2020-08-03,0.020215,0.01726,-0.002954,0.01726,14382055.0,14382055.0,13382055.0,13.382055,1,0.5305,0.5,2460
2020-08-04,0.009249,0.023865,0.014616,0.023865,14515073.0,14515073.0,13515073.0,13.515073,1,0.5307,0.5,2461
2020-08-05,0.016994,0.020408,0.003413,0.020408,14761745.0,14761745.0,13761745.0,13.761745,1,0.5309,0.55,2462
2020-08-06,0.006434,0.003934,-0.0025,0.003934,14856722.0,14856722.0,13856722.0,13.856722,1,0.5311,0.6,2463
2020-08-07,0.009977,0.011121,0.001144,0.011121,15004953.0,15004953.0,14004953.0,14.004953,1,0.5312,0.65,2464
2020-08-11,0.012927,0.01294,1.4e-05,0.01294,15198915.0,15198915.0,14198915.0,14.198915,1,0.5314,0.65,2465
2020-08-12,0.004121,0.0246,0.020479,0.0246,15261551.0,15261551.0,14261551.0,14.261551,1,0.5316,0.7,2466
2020-08-13,0.011007,0.006357,-0.004649,0.006357,15429528.0,15429528.0,14429528.0,14.429528,1,0.5318,0.7,2467
2020-08-14,-0.008614,-0.00657,0.002044,-0.00657,15296621.0,15296621.0,14296621.0,14.296621,0,0.5316,0.65,2468
2020-08-17,0.007364,-0.007299,-0.014663,-0.007299,15409260.0,15409260.0,14409260.0,14.40926,1,0.5318,0.65,2469
2020-08-18,0.015995,0.008024,-0.00797,0.008024,15655727.0,15655727.0,14655727.0,14.655727,1,0.532,0.65,2470
2020-08-19,0.004729,0.003504,-0.001225,0.003504,15729762.0,15729762.0,14729762.0,14.729762,1,0.5322,0.65,2471
2020-08-20,-0.000282,-0.003771,-0.003489,-0.003771,15725334.0,15725334.0,14725334.0,14.725334,0,0.532,0.65,2472
2020-08-21,0.002295,-0.000977,-0.003272,-0.000977,15761429.0,15761429.0,14761429.0,14.761429,1,0.5321,0.7,2473
2020-08-24,0.001688,0.005795,0.004107,0.005795,15788040.0,15788040.0,14788040.0,14.78804,1,0.5323,0.75,2474
2020-08-25,-0.003495,-0.004463,-0.000968,-0.004463,15732858.0,15732858.0,14732858.0,14.732858,0,0.5321,0.75,2475
2020-08-26,-0.003535,0.003647,0.007183,0.003647,15677236.0,15677236.0,14677236.0,14.677236,0,0.5319,0.75,2476
2020-08-27,0.00456,-0.000876,-0.005437,-0.000876,15748729.0,15748729.0,14748729.0,14.748729,1,0.5321,0.75,2477
2020-08-28,0.011612,-0.003878,-0.015489,-0.003878,15931597.0,15931597.0,14931597.0,14.931597,1,0.5323,0.8,2478
2020-08-31,-0.02418,-0.007527,0.016653,-0.007527,15546375.0,15546375.0,14546375.0,14.546375,0,0.5321,0.75,2479
2020-09-01,-0.010698,-0.006377,0.004321,-0.006377,15380054.0,15380054.0,14380054.0,14.380054,0,0.5319,0.7,2480
2020-09-02,0.013003,-0.002485,-0.015489,-0.002485,15580046.0,15580046.0,14580046.0,14.580046,1,0.532,0.7,2481
2020-09-03,-3.9e-05,-0.007491,-0.007453,-0.007491,15579443.0,15579443.0,14579443.0,14.579443,0,0.5318,0.65,2482
2020-09-04,0.016233,0.014176,-0.002057,0.014176,15832344.0,15832344.0,14832344.0,14.832344,1,0.532,0.65,2483
2020-09-08,-0.01132,0.00351,0.01483,0.00351,15653120.0,15653120.0,14653120.0,14.65312,0,0.5318,0.6,2484
2020-09-09,0.006246,0.001363,-0.004883,0.001363,15750891.0,15750891.0,14750891.0,14.750891,1,0.532,0.6,2485
2020-09-10,-0.007529,-0.003335,0.004194,-0.003335,15632304.0,15632304.0,14632304.0,14.632304,0,0.5318,0.55,2486
2020-09-11,0.001983,0.011493,0.00951,0.011493,15663303.0,15663303.0,14663303.0,14.663303,1,0.532,0.55,2487
2020-09-14,-0.003477,0.00465,0.008127,0.00465,15608847.0,15608847.0,14608847.0,14.608847,0,0.5318,0.55,2488
2020-09-15,-0.0078,-0.007269,0.000532,-0.007269,15487093.0,15487093.0,14487093.0,14.487093,0,0.5315,0.5,2489
2020-09-16,0.011679,0.009493,-0.002186,0.009493,15667964.0,15667964.0,14667964.0,14.667964,1,0.5317,0.5,2490
2020-09-17,-0.018216,-0.008832,0.009384,-0.008832,15382561.0,15382561.0,14382561.0,14.382561,0,0.5315,0.45,2491
2020-09-18,-0.000351,-0.000276,7.6e-05,-0.000276,15377155.0,15377155.0,14377155.0,14.377155,0,0.5313,0.45,2492
2020-09-23,-0.00242,0.000232,0.002652,0.000232,15339936.0,15339936.0,14339936.0,14.339936,0,0.5311,0.4,2493
2020-09-24,0.00926,-0.002981,-0.012242,-0.002981,15481990.0,15481990.0,14481990.0,14.48199,1,0.5313,0.4,2494
2020-09-25,-0.004999,-0.001877,0.003123,-0.001877,15404588.0,15404588.0,14404588.0,14.404588,0,0.5311,0.4,2495
2020-09-28,-0.015452,-0.00348,0.011972,-0.00348,15166556.0,15166556.0,14166556.0,14.166556,0,0.5308,0.4,2496
2020-09-29,-0.003691,-0.002101,0.00159,-0.002101,15110575.0,15110575.0,14110575.0,14.110575,0,0.5306,0.35,2497
2020-09-30,0.017039,-0.013182,-0.030221,-0.013182,15368050.0,15368050.0,14368050.0,14.36805,1,0.5308,0.35,2498
2020-10-02,-0.006407,-0.014208,-0.007801,-0.014208,15269589.0,15269589.0,14269589.0,14.269589,0,0.5306,0.35,2499
2020-10-05,-0.013301,0.006598,0.0199,0.006598,15066484.0,15066484.0,14066484.0,14.066484,0,0.5304,0.35,2500
2020-10-06,0.003965,0.009019,0.005054,0.009019,15126224.0,15126224.0,14126224.0,14.126224,1,0.5306,0.35,2501
