round,sig_coef,size_min,short_amp,target_vol,train_calmar_median,train_annual_r,train_max_dd,test_calmar_median,test_annual_r,test_max_dd
Round4,1.2,0.2,2.0,0.02,13.899489009839474,0.9848914862074312,-0.09286786491872363,32.14630002269843,2.280475031659217,-0.07094051352874137
Round4,1.6,0.3,2.0,0.02,13.86856205784284,1.3126336927412727,-0.1243202290155512,40.11720490687144,3.486170782241894,-0.08689964294209261
Round4,1.8,0.3,2.0,0.015,13.8667140830024,1.1065423650472468,-0.10431615314686232,34.59157560649866,2.7541137991337896,-0.07961805008432109
Round4,2.0,0.3,2.0,0.012,13.834773350806099,0.9808339168483118,-0.09209233694186653,32.326114364896384,2.294208254678945,-0.07097073990340994
Round4,2.0,0.3,2.0,0.015,13.797442643206324,1.2207576602520387,-0.1146951839228486,39.55860646134378,3.3149718016253766,-0.08379900350799084
Round4,1.4,0.2,2.0,0.02,13.755570004100345,1.1383210043413912,-0.10689810216267598,36.39089200377004,2.9546874343994225,-0.08119304781243948
Round4,1.4,0.3,2.0,0.015,13.725155719876245,0.8632773269113305,-0.08305272688377326,28.308324825885734,1.8417212876090407,-0.0650593526440297
Round4,1.2,0.15,2.0,0.02,13.699872609119728,0.9725910112990956,-0.09130442743640221,32.388076918111004,2.3000742441484654,-0.07101607946541257
Round4,1.6,0.2,2.0,0.015,13.695568013807987,0.9724799341110424,-0.09130442743640187,32.38807691811091,2.3000742441484654,-0.07101607946541276
Round4,1.5,0.2,2.0,0.02,13.693633472121064,1.2129192264456021,-0.11401026973322644,39.67343328630541,3.326072348713404,-0.08383626203234362
Round4,1.2,0.1,2.0,0.02,13.671012580884558,0.9651279398036099,-0.09135386877453916,32.53190431062453,2.312746605505432,-0.07109164540208354
Round4,1.6,0.15,2.0,0.015,13.66150191532871,0.9661462910350467,-0.09125246135836856,32.49465080045688,2.3094843199894806,-0.0710727539179159
Round4,2.0,0.15,2.0,0.012,13.658430613024862,0.9641594394212594,-0.09138784507749187,32.585244410578866,2.3170311078802204,-0.0711067585894182
Round4,2.0,0.2,2.0,0.012,13.644219320515733,0.9664988054247874,-0.09123014116873467,32.492236905181215,2.308944461857125,-0.07106141902741514
