round,dd_t1,dd_s1,dd_t2,dd_s2,train_calmar,test_calmar,test_annual_r,test_max_dd,no_dd_max_dd,dd_improvement
Round2,-0.06,0.5,-0.2,0.1,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.2,0.2,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.2,0.3,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.25,0.0,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.25,0.1,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.25,0.2,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.25,0.3,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.15,0.1,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.18,0.2,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.15,0.3,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.12,0.1,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.18,0.3,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.18,0.1,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.5,-0.15,0.2,13.796439160240944,13.88185685157358,0.8590919652828175,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.7,-0.15,0.0,13.489718207010345,14.762665521042383,0.9083554052712393,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.7,-0.2,0.0,13.489718207010345,14.762665521042383,0.9083554052712393,-0.07220681277959712,-0.07220681277959712,0.0
Round2,-0.06,0.7,-0.2,0.1,13.489718207010345,14.762665521042383,0.9083554052712393,-0.07220681277959712,-0.07220681277959712,0.0
Round3,-0.15,0.7,-0.25,0.0,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.2,0.3,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
Round3,-0.15,0.7,-0.2,0.2,14.107585963064256,2.8662538631811714,0.392718717888888,-0.12171362521054327,-0.12171362521054327,0.0
