date,signal_strength,strategy_return,us_return
2023-03-06,,-0.000729,0.021504
2023-03-07,,0.003165,-0.007313
2023-03-08,,0.011635,-0.013633
2023-03-09,,0.007309,-0.001815
2023-03-10,,-0.001745,-0.023846
2023-03-13,,-0.003799,-0.009958
2023-03-14,,-0.003781,0.002099
2023-03-15,,-0.003546,0.016969
2023-03-16,,0.014993,-0.001491
2023-03-17,,1.1e-05,0.018061
2023-03-20,,-0.01116,-0.012782
2023-03-22,,0.002705,0.004329
2023-03-23,,0.001697,-0.022279
2023-03-24,,0.005999,-0.001055
2023-03-27,,-0.000975,-0.003238
2023-03-28,,0.002052,0.002048
2023-03-29,,0.011242,-0.001199
2023-03-30,,-0.001659,0.018984
2023-03-31,,-0.000539,0.008726
2023-04-03,,0.010298,0.026708
2023-04-04,,0.002678,-0.009161
2023-04-05,,-0.012703,-0.00162
2023-04-06,,0.008797,-0.020483
2023-04-10,,0.000841,0.000207
2023-04-11,,0.003402,0.004416
2023-04-12,,0.001909,0.00158
2023-04-13,,-0.000426,-0.015501
2023-04-14,,0.006216,0.022084
2023-04-17,,-0.005171,0.001295
2023-04-18,,-0.001523,0.00708
2023-04-19,,-0.002595,0.001622
2023-04-20,,-3e-05,-0.000945
2023-04-21,,0.005362,-0.015401
2023-04-24,,0.001871,0.011045
2023-04-25,,-0.001958,-0.000135
2023-04-26,,0.002429,-0.019817
2023-04-27,,0.011968,-0.005124
2023-04-28,,0.009485,0.026376
2023-05-01,,0.004753,0.002577
2023-05-02,,-0.007797,-0.009874
2023-05-08,,-0.009372,0.001025
2023-05-09,,0.013278,0.003397
2023-05-10,,-0.005226,-0.000271
2023-05-11,,-0.000514,0.00508
2023-05-12,,0.015666,0.00465
2023-05-15,,-0.001993,-0.008451
2023-05-16,,-0.005625,0.001285
2023-05-17,,-0.006442,-0.004053
2023-05-18,,0.006866,0.020825
2023-05-19,,-0.005088,0.015549
2023-05-22,,0.013054,-0.008375
2023-05-23,,-0.00787,-0.003101
2023-05-24,,0.010152,-0.009134
2023-05-25,,-0.002622,-0.003674
2023-05-26,,-0.005702,-0.004492
2023-05-30,,0.002625,0.023505
2023-05-31,,-0.007387,0.006712
2023-06-01,,0.009902,-0.00902
2023-06-02,,0.00871,0.011807
2023-06-05,,0.003138,0.023468
2023-06-06,,0.010534,0.002994
2023-06-07,,-3.9e-05,0.010415
2023-06-08,,-0.008858,-0.006788
2023-06-09,,0.008069,0.014808
2023-06-12,,6.9e-05,0.005175
2023-06-13,,-0.001431,0.017184
2023-06-14,,0.009501,0.010368
2023-06-15,,-0.004694,-0.000724
2023-06-16,,0.008767,0.006524
2023-06-20,,-0.002085,-0.0015
2023-06-21,,0.007279,0.007492
2023-06-22,,0.004269,-0.012015
2023-06-23,,-0.003599,0.012766
2023-06-26,,0.001125,-0.01159
2023-06-27,,-0.004134,-0.012814
2023-06-28,,0.011462,0.021491
2023-06-29,,-0.009326,0.003956
2023-06-30,,-0.005276,0.001075
2023-07-03,,0.004863,0.012703
2023-07-05,,5.1e-05,0.012072
2023-07-06,,-0.0016,0.000407
2023-07-07,,-0.006708,-0.016111
2023-07-10,,-0.00971,0.001241
2023-07-11,,-0.008485,0.00307
2023-07-12,,-0.013744,0.008358
2023-07-13,,0.006152,0.00899
2023-07-14,,-0.019768,0.009372
2023-07-18,,0.006864,0.002579
2023-07-19,,-1.4e-05,0.0041
2023-07-20,,-0.004372,0.003516
2023-07-21,,0.013693,-0.034073
2023-07-24,,0.004554,0.000234
2023-07-25,,0.004045,0.006551
2023-07-26,,0.001748,-0.002324
2023-07-27,,0.008302,-0.000233
2023-07-28,,0.009435,-0.010369
2023-07-31,,0.003687,0.016953
2023-08-01,,-0.000216,0.005673
2023-08-02,,-0.003204,-0.011339
2023-08-03,,-0.005543,-0.017931
2023-08-04,,0.010125,0.002371
2023-08-07,,0.011096,0.014549
2023-08-08,,-0.002844,0.01026
2023-08-09,,0.001831,-0.007963
2023-08-10,,0.021421,-0.011865
2023-08-14,,-0.012855,0.002413
2023-08-15,,0.003147,0.003064
2023-08-16,,0.004873,-0.013628
2023-08-17,,-0.005793,-0.012387
2023-08-18,,0.001828,-0.016944
2023-08-21,,0.003847,-0.002269
2023-08-22,,0.0029,0.011496
2023-08-23,,0.010081,0.001459
2023-08-24,,0.007154,0.008011
2023-08-25,,0.003642,-0.019568
2023-08-28,,0.001315,0.011177
2023-08-29,,-0.003554,0.004008
2023-08-30,,-0.001104,0.024982
2023-08-31,,0.002689,0.004308
2023-09-01,,0.011644,0.003114
2023-09-05,,-0.004719,-0.006092
2023-09-06,,-0.004712,0.000707
2023-09-07,,-0.004446,-0.008893
2023-09-08,,0.002687,0.002793
2023-09-11,,-0.00323,0.0
2023-09-12,,0.009152,0.026904
2023-09-13,,0.002508,-0.00906
2023-09-14,,0.007142,0.00792
2023-09-15,,-0.001159,0.009822
2023-09-19,,0.007456,-0.017107
2023-09-20,,-0.016257,-0.005011
2023-09-21,,0.002883,-0.009955
2023-09-22,,-0.003371,-0.027291
2023-09-25,,0.00327,-0.009844
2023-09-26,,0.000382,0.006152
2023-09-27,,0.003426,-0.018219
2023-09-28,,-0.006847,-0.003837
2023-09-29,,-0.015804,0.011177
2023-10-02,,-0.013086,0.005308
2023-10-03,,-0.024336,0.000808
2023-10-04,,-0.012039,-0.024331
2023-10-05,,0.009105,0.019721
