,PCA_PLAIN
2020-04-24,0.0008308387743387194
2020-04-27,0.00690276061531484
2020-04-28,0.0038766859664547204
2020-04-30,0.02888601665451334
2020-05-01,0.016627281865189417
2020-05-07,-0.002775294803251239
2020-05-08,0.01396802074508536
2020-05-11,-0.0038006584256001603
2020-05-12,-0.0009498566113687399
2020-05-13,-0.00526047773441514
2020-05-14,0.004122420530426221
2020-05-15,0.0036356296113054408
2020-05-18,-0.00289714722776024
2020-05-19,0.018250760800839302
2020-05-20,0.00229145771490316
2020-05-21,9.768465188739976e-05
2020-05-22,0.01171386534251682
2020-05-26,-0.0041614400844689385
2020-05-27,0.028327799176105478
2020-05-28,0.00623892371073004
2020-05-29,0.01591111563791282
2020-06-01,0.0033654579136747
2020-06-02,0.001255200618338061
2020-06-03,0.00405839260428164
2020-06-04,-0.006658862616570962
2020-06-05,-0.00475300991544432
2020-06-08,-0.006277421341113578
2020-06-09,-0.00325529989386968
2020-06-10,-0.00390417375925698
2020-06-11,0.0184539974877706
2020-06-12,-0.002703044049417719
2020-06-15,-0.008098065659378382
2020-06-16,0.01225786146642088
2020-06-17,-0.0012382411074647005
2020-06-18,0.00409645724070718
2020-06-19,-0.00540663283042482
2020-06-22,0.00035421603743202067
2020-06-23,0.0061652496123024
2020-06-24,-0.0012441592427656994
2020-06-25,0.00202735966737826
2020-06-26,0.01155470252630018
2020-06-29,-0.0022318461532671004
2020-06-30,-0.0102845298400859
2020-07-01,-0.0084706796785377
2020-07-02,0.0013626717171387995
2020-07-06,0.004158763709278758
2020-07-07,-0.009843416046174041
2020-07-08,-0.00013997406940493965
2020-07-09,0.01141699571100406
2020-07-10,0.004494632647461978
2020-07-13,0.01382900251369126
2020-07-14,-0.00418805940587936
2020-07-15,0.0031480557393557596
2020-07-16,0.007891712648212961
2020-07-17,0.0072035045086042805
2020-07-20,-0.0019011173714356
2020-07-21,0.00587244151735938
2020-07-22,0.003787575374095921
2020-07-27,0.0007004589608056401
2020-07-28,-0.006805625825219059
