,PCA_SUB
2013-11-21,0.0019220017269317002
2013-11-22,0.0052384787732141
2013-11-25,0.0017799594889277197
2013-11-26,2.3224833863840085e-05
2013-11-27,0.00442632326658994
2013-11-29,0.005104007697775361
2013-12-02,0.00011457759490989981
2013-12-03,0.0006996545145106603
2013-12-04,-0.0022237056236478403
2013-12-05,-0.006541544044766219
2013-12-06,0.00319938077618044
2013-12-09,-0.00211847639032558
2013-12-10,0.0028701317985885804
2013-12-11,0.0010353509223774596
2013-12-12,-0.00270060879398004
2013-12-13,-0.0005339348064284664
2013-12-16,0.00142160117450022
2013-12-17,-0.00145365486415064
2013-12-18,0.0041846922227793395
2013-12-19,0.00265309254928564
2013-12-20,0.0017109247908447004
2013-12-24,-0.01079041839736078
2013-12-26,0.00023829330812728117
2013-12-27,-0.0076719004328968205
2013-12-30,0.0073484218664163405
2014-01-06,0.0002222827915868606
2014-01-07,0.0011409044632809603
2014-01-08,-0.0057877306729598
2014-01-09,-0.001538434368007381
2014-01-10,0.0019759707381853597
2014-01-14,-0.01198367711633684
2014-01-15,0.0007056888183465202
2014-01-16,-0.0021799225049710597
2014-01-17,-0.004421262810328921
2014-01-21,-0.0007903203202071398
2014-01-22,-0.00102422302728662
2014-01-23,0.001033222470816159
2014-01-24,-0.00037820664919103845
2014-01-27,0.00233955738525582
2014-01-28,3.651165391284003e-05
2014-01-29,-0.0005494721778989396
2014-01-30,-0.0023017623838026404
2014-01-31,0.0037228296330472
2014-02-03,0.00545816332996412
2014-02-04,0.0006048240637568404
2014-02-05,-0.0003542056216811599
2014-02-06,0.0021727889132460397
2014-02-07,-0.0029395823510587615
2014-02-10,0.00475009865532168
2014-02-12,0.004579867836826543
2014-02-13,0.0023583508137395995
2014-02-14,0.0032519627791371595
2014-02-18,0.012555595754275083
2014-02-19,0.0038001399972511
2014-02-20,-0.01177634282844042
2014-02-21,0.0057322232853073
2014-02-24,0.0002665521454621709
2014-02-25,0.00404458408680956
2014-02-26,-0.00516802740701936
2014-02-27,-0.004742497995322881
2014-02-28,0.003130493643473718
2014-03-03,-0.004508486404185861
2014-03-04,0.004577572049096778
2014-03-05,-0.0028228304407046023
2014-03-06,0.007612239771910681
2014-03-07,-0.000254799663008
2014-03-10,-0.00790470310600512
2014-03-11,0.0021432179635444623
2014-03-12,0.0020756656153356028
2014-03-13,0.00024752639454803994
2014-03-14,-0.0016675274305210236
2014-03-17,0.00021496134558753738
2014-03-18,0.00100476770230824
2014-03-19,-0.006402981154557657
2014-03-20,0.0045015660721965806
2014-03-24,-0.007075139001705461
2014-03-25,0.0029121164579980624
2014-03-26,-0.0021932016708822574
2014-03-27,0.0030144629627458603
2014-03-28,-0.006810090742525539
2014-03-31,0.010347039926425144
2014-04-01,-0.0030253988390678767
2014-04-02,0.0110941597685214
2014-04-03,0.0011274553268399
2014-04-04,0.0028098827807195204
2014-04-07,0.0031317891644845604
2014-04-08,-0.0027794619842530397
2014-04-09,0.009768727040435079
2014-04-10,-0.003678996299164762
2014-04-11,0.0007818981274760189
2014-04-14,0.004330486018384725
2014-04-15,-0.0007122832249788196
2014-04-16,-0.00890748715729798
2014-04-17,-6.252920583673955e-05
2014-04-21,0.004744328493020681
2014-04-22,0.01202638399708246
2014-04-23,0.0006617370746565998
2014-04-24,0.00721898134989714
2014-04-25,-0.0022501141219602398
2014-04-28,-0.0038532989470483796
2014-04-30,-0.0005926060938253699
2014-05-01,0.0005643304373277591
2014-05-02,-0.0005059664617830401
2014-05-07,-0.007529830267762599
2014-05-08,0.0008617106005163805
2014-05-09,0.0027197665047553805
2014-05-12,0.00202505428820766
2014-05-13,0.00412818617724892
2014-05-14,0.0016537192011469599
2014-05-15,0.000272405383419
2014-05-16,-0.0016861460466745595
2014-05-19,0.00458392272113998
2014-05-20,-0.0038540216524065004
2014-05-21,-0.0008110447736671598
2014-05-22,0.0009958857924676004
2014-05-23,-0.00367289398192302
2014-05-27,0.004866904270844599
2014-05-28,-0.00317859855744782
2014-05-29,0.0038964322887570005
2014-05-30,0.0001610867132152596
2014-06-02,0.002549633143855203
2014-06-03,0.0033152460392177003
2014-06-04,0.0029645067390388006
2014-06-05,0.00021580723060362012
2014-06-06,0.00816824201154244
2014-06-09,0.0017739220999438794
2014-06-10,-0.0003858092267681199
2014-06-11,-0.006059043190322
2014-06-12,0.0013359034691869604
2014-06-13,0.008409035555375722
2014-06-16,-0.0029549864160335598
2014-06-17,0.0019971459749853
2014-06-18,0.0038627736778365797
2014-06-19,-0.0025110418621861405
2014-06-20,0.00471867561066238
2014-06-23,0.0013030623041519198
2014-06-24,0.0021372774646446404
2014-06-25,-0.0001226924791432871
2014-06-26,-0.0027589234305840397
2014-06-27,-0.0008484381199518796
2014-06-30,0.00380457886180162
2014-07-01,0.004675259563458719
2014-07-02,-0.0008074940692554002
2014-07-03,-0.0041953299430831726
