sector,sector_name,ticker,IC_full,IC_2010_2015,IC_2016_2020,IC_2021_now,n_days,positive_periods,win_rate,decision
retail,小売,9983,-0.02991102918149306,-0.025810067241988352,-0.017170394650630177,-0.0495083087107223,3790,0,0.4899736147757256,C
retail,小売,3382,-0.03110259016701494,-0.026845451680937396,-0.023887973136214734,-0.04116724751823948,3790,0,0.47862796833773086,D
retail,小売,8270,,,,,0,0,,C
retail,小売,2651,,,,,0,0,,C
banks,銀行,8354,0.07243426745665577,0.045434660199955595,0.06748560985549423,0.10251907479368927,3790,3,0.45857519788918205,A
banks,銀行,8308,0.057094946161042784,0.020803884736515937,0.08296425984889685,0.06606360760456005,3790,3,0.4757255936675462,A
banks,銀行,8377,0.05214277470546538,0.0215544268731927,0.06831758204184381,0.061715397915890965,3790,3,0.458311345646438,A
banks,銀行,8359,0.0374559090103362,0.04384682422231072,0.053290064237813004,0.015870295086499925,3790,3,0.4725593667546174,B
banks,銀行,8331,0.03728856996466329,0.05463771841961472,0.030254116807716464,0.031192769235184437,3790,3,0.46490765171503956,B
banks,銀行,8309,0.029499207895275447,0.018895693923009774,0.04428757086708332,0.027655465815088272,3790,3,0.4783641160949868,B
banks,銀行,8601,0.022771359723320974,0.016385901262334877,0.013763317829967769,0.04110337917261658,3790,3,0.46912928759894457,B
banks,銀行,8253,0.02063447328214163,-0.016930049187144466,0.03731741867208149,0.04536602505310041,3790,2,0.4794195250659631,B
banks,銀行,8306,0.018831940137712073,0.015177965654501456,0.03211981595498253,0.009682943450046272,3790,3,0.4633245382585752,C
banks,銀行,8316,0.015900177208505496,0.021862409122473697,0.02250532382945622,0.004747496128700937,3790,3,0.4836411609498681,C
banks,銀行,8411,0.012066122847260366,-0.003166000084794345,0.021998642217331697,0.01744915543316723,3790,2,0.43588390501319263,C
banks,銀行,8697,0.001819257023054359,-0.011081287649570006,0.00822938710525688,0.011409212142908229,3790,2,0.48707124010554087,C
banks,銀行,8355,,,,,0,0,,C
banks,銀行,8398,,,,,0,0,,C
realestate,不動産,8984,0.02290764924122187,0.049090259338267245,0.043025448125265,-0.05422480150490172,3790,2,0.47651715039577835,B
realestate,不動産,1928,0.019349184761598474,0.02320169881741555,0.03648633759835563,-0.014220089364232344,3790,2,0.4825857519788918,C
realestate,不動産,3231,0.01496050954367682,0.03016249462606063,0.02109682210103787,-0.015589068620543739,3790,2,0.4831134564643799,C
realestate,不動産,1925,0.013257487360771635,0.0061488397624305,0.03714137596558314,-0.029957496665457377,3790,2,0.48179419525065964,C
realestate,不動産,8876,0.012345085318811882,-0.014646265218505877,0.04323823772513778,-0.00990819723317008,3790,1,0.49604221635883905,C
realestate,不動産,8830,0.010677068493366589,0.01790404917910324,0.028129649489644193,-0.02697409085057401,3790,2,0.4767810026385224,C
realestate,不動産,8802,0.006898721862154755,0.0010698855013686784,0.030151769335451727,-0.026446000125793234,3790,2,0.47810026385224275,C
realestate,不動産,3003,0.006470119075140916,0.005040425901596817,0.01895671930961426,-0.016335531792055654,3790,2,0.46807387862796834,C
realestate,不動産,3289,0.002541550926208159,-0.07448772166371458,0.03964847636970816,-0.03931414166694526,2962,1,0.45070898041863605,C
realestate,不動産,8801,-0.0012216025402959619,0.00767115880675789,0.01986872886965184,-0.0517970192375704,3790,2,0.4712401055408971,C
realestate,不動産,8815,,,,,0,0,,C
realestate,不動産,8905,,,,,0,0,,C
realestate,不動産,3254,,,,,0,0,,C
realestate,不動産,3278,,,,,0,0,,C
