year,ticker,sector,sector_name,long_days,short_days,total_days,total_return,avg_daily_pct
2016,2780,retail,小売,75,60,135,-0.072519,-0.053717777777777774
2016,8354,banks,銀行,102,118,220,0.5515559999999999,0.25070727272727267
2016,8725,finance,金融,2,1,3,-0.007623999999999999,-0.2541333333333333
2016,8984,realestate,不動産,1,0,1,0.003121,0.3121
2017,2587,food,食品,108,116,224,-0.009749999999999995,-0.004352678571428569
2017,5020,energy,エネルギー,112,111,223,0.020849000000000006,0.009349327354260093
2017,5233,construction,建設,1,0,1,-0.004772,-0.4772
2017,4536,pharma,医薬品,115,114,229,-0.014567999999999998,-0.0063615720524017455
2017,7282,auto,自動車,86,75,161,-0.014004000000000016,-0.008698136645962742
2017,6113,machinery,機械,1,2,3,-0.014178999999999999,-0.47263333333333335
2017,6971,electronics,電機精密,0,2,2,0.0012109999999999998,0.06054999999999999
2017,9501,utilities,電力ガス,50,55,105,0.013561999999999998,0.012916190476190475
2017,9308,transport,運輸物流,3,0,3,-0.021661,-0.7220333333333333
2017,8053,trading,商社卸売,63,72,135,0.071128,0.0526874074074074
2017,2780,retail,小売,88,82,170,-0.04028900000000003,-0.0236994117647059
2017,8354,banks,銀行,106,101,207,-0.06849700000000006,-0.033090338164251235
2017,8725,finance,金融,1,1,2,-0.004124,-0.2062
2017,8984,realestate,不動産,1,4,5,0.046430000000000006,0.9286000000000001
2018,2587,food,食品,117,115,232,0.16147399999999998,0.06960086206896551
2018,5020,energy,エネルギー,87,99,186,0.05063699999999999,0.027224193548387093
2018,5233,construction,建設,1,0,1,-0.008004,-0.8004000000000001
2018,4004,materials,素材化学,3,4,7,0.026302999999999997,0.37575714285714285
2018,4536,pharma,医薬品,75,73,148,0.002020000000000026,0.0013648648648648825
2018,7282,auto,自動車,84,81,165,0.031261,0.018946060606060605
2018,5713,steel,鉄鋼非鉄,2,5,7,0.059178,0.8453999999999999
2018,6113,machinery,機械,4,5,9,0.009786000000000005,0.10873333333333338
2018,6971,electronics,電機精密,1,2,3,-0.01783,-0.5943333333333333
2018,9984,it_services,情報通信,0,2,2,-0.0538,-2.69
2018,9501,utilities,電力ガス,90,86,176,0.32811,0.18642613636363636
2018,9308,transport,運輸物流,2,2,4,-0.024128,-0.6032
2018,8053,trading,商社卸売,113,109,222,0.07621899999999997,0.03433288288288287
2018,2780,retail,小売,84,91,175,0.251523,0.14372742857142856
2018,8354,banks,銀行,82,73,155,-0.005751999999999998,-0.003710967741935483
2018,8725,finance,金融,4,3,7,-0.0024009999999999986,-0.03429999999999998
2018,8984,realestate,不動産,4,3,7,0.018143,0.2591857142857143
2019,2587,food,食品,98,102,200,0.091502,0.045751
2019,5020,energy,エネルギー,90,84,174,0.147286,0.0846471264367816
2019,5233,construction,建設,2,1,3,0.011035000000000003,0.3678333333333334
2019,4004,materials,素材化学,2,0,2,-0.0011980000000000003,-0.059900000000000016
2019,4536,pharma,医薬品,91,89,180,0.091967,0.05109277777777777
2019,7282,auto,自動車,81,81,162,0.167762,0.1035567901234568
2019,5713,steel,鉄鋼非鉄,2,1,3,0.018427,0.6142333333333333
2019,6113,machinery,機械,4,5,9,0.027183000000000002,0.3020333333333334
2019,6971,electronics,電機精密,0,1,1,-0.002977,-0.2977
2019,9984,it_services,情報通信,5,2,7,0.012270999999999997,0.17529999999999996
2019,9501,utilities,電力ガス,83,78,161,0.014690999999999982,0.009124844720496883
2019,9308,transport,運輸物流,3,2,5,0.016510999999999998,0.33021999999999996
2019,8053,trading,商社卸売,92,97,189,0.20998600000000003,0.1111037037037037
2019,2780,retail,小売,73,70,143,0.108733,0.07603706293706293
2019,8354,banks,銀行,71,82,153,0.037550000000000014,0.024542483660130728
2019,8725,finance,金融,1,3,4,-0.024054,-0.6013499999999999
2019,8984,realestate,不動産,1,1,2,0.009517000000000001,0.47585000000000005
2020,2587,food,食品,95,93,188,-0.18523399999999995,-0.0985287234042553
2020,5020,energy,エネルギー,88,98,186,0.12152299999999999,0.06533494623655914
2020,5233,construction,建設,6,2,8,0.065946,0.8243250000000001
2020,4004,materials,素材化学,4,1,5,-0.110121,-2.20242
2020,4536,pharma,医薬品,108,88,196,0.044549000000000005,0.022729081632653064
2020,7282,auto,自動車,95,103,198,0.17530500000000002,0.08853787878787879
2020,5713,steel,鉄鋼非鉄,2,5,7,0.014627999999999999,0.20897142857142856
2020,6113,machinery,機械,0,2,2,0.048168,2.4084000000000003
2020,6971,electronics,電機精密,2,1,3,-1.4999999999999389e-05,-0.0004999999999999796
2020,9984,it_services,情報通信,2,1,3,-0.000656,-0.021866666666666666
2020,9501,utilities,電力ガス,61,57,118,-0.068153,-0.05775677966101695
2020,9308,transport,運輸物流,2,2,4,-0.098246,-2.45615
2020,8053,trading,商社卸売,47,55,102,0.23432,0.2297254901960784
2020,2780,retail,小売,96,83,179,-0.08631299999999999,-0.048219553072625695
2020,8354,banks,銀行,90,109,199,0.007539999999999998,0.0037889447236180893
2020,8984,realestate,不動産,4,2,6,0.006766000000000005,0.11276666666666674
2021,2587,food,食品,92,83,175,-0.332368,-0.18992457142857141
2021,5020,energy,エネルギー,98,103,201,0.16278400000000004,0.08098706467661694
2021,5233,construction,建設,0,2,2,0.004939000000000001,0.24695000000000003
2021,4536,pharma,医薬品,99,93,192,-0.21041700000000002,-0.10959218750000001
2021,7282,auto,自動車,85,84,169,-0.010041999999999995,-0.005942011834319524
2021,5713,steel,鉄鋼非鉄,1,0,1,0.009656,0.9656
2021,6971,electronics,電機精密,1,0,1,-0.006107,-0.6106999999999999
2021,9984,it_services,情報通信,0,1,1,0.001936,0.1936
2021,9501,utilities,電力ガス,87,85,172,-0.266833,-0.15513546511627907
2021,9308,transport,運輸物流,2,1,3,0.037683,1.2561
2021,8053,trading,商社卸売,89,101,190,0.04279699999999999,0.022524736842105257
2021,2780,retail,小売,83,78,161,-0.33750900000000006,-0.20963291925465843
2021,8354,banks,銀行,71,73,144,0.104438,0.07252638888888889
2021,8725,finance,金融,1,1,2,0.016351,0.81755
2021,8984,realestate,不動産,2,6,8,0.007326999999999999,0.09158749999999999
2022,2587,food,食品,79,96,175,-0.175959,-0.100548
2022,5020,energy,エネルギー,97,78,175,0.09444800000000002,0.05397028571428572
2022,5233,construction,建設,3,4,7,0.0022070000000000006,0.03152857142857144
2022,4004,materials,素材化学,1,1,2,0.025244,1.2622
2022,4536,pharma,医薬品,85,89,174,0.13657800000000006,0.0784931034482759
2022,7282,auto,自動車,78,73,151,0.11745399999999999,0.07778410596026489
2022,5713,steel,鉄鋼非鉄,2,3,5,0.016631,0.33262
2022,6113,machinery,機械,6,2,8,0.005317999999999998,0.06647499999999998
2022,6971,electronics,電機精密,3,6,9,-0.003042999999999997,-0.033811111111111083
2022,9984,it_services,情報通信,6,7,13,-0.030549,-0.23499230769230767
2022,9501,utilities,電力ガス,70,85,155,-0.23923799999999998,-0.15434709677419353
2022,9308,transport,運輸物流,3,3,6,-0.02072,-0.3453333333333333
2022,8053,trading,商社卸売,92,98,190,0.229015,0.12053421052631579
2022,2780,retail,小売,89,83,172,-0.14770199999999986,-0.08587325581395341
2022,8354,banks,銀行,84,75,159,0.15660399999999997,0.09849308176100627
2022,8725,finance,金融,3,1,4,-0.005698,-0.14245
2022,8984,realestate,不動産,4,1,5,-0.045551999999999995,-0.91104
2023,2587,food,食品,84,76,160,0.05556800000000001,0.03473000000000001
2023,5020,energy,エネルギー,99,101,200,0.147295,0.0736475
2023,5233,construction,建設,2,2,4,-0.013850000000000003,-0.34625000000000006
2023,4004,materials,素材化学,0,3,3,0.0062250000000000005,0.2075
2023,4536,pharma,医薬品,115,102,217,0.11405000000000004,0.052557603686635965
2023,7282,auto,自動車,81,89,170,0.156471,0.09204176470588235
2023,5713,steel,鉄鋼非鉄,1,3,4,-0.0002450000000000004,-0.006125000000000011
2023,6113,machinery,機械,3,2,5,0.004133,0.08266
2023,6971,electronics,電機精密,0,2,2,-0.004069,-0.20345
2023,9984,it_services,情報通信,5,3,8,0.011739999999999999,0.14675
2023,9501,utilities,電力ガス,88,82,170,0.13885899999999998,0.08168176470588234
2023,9308,transport,運輸物流,1,2,3,-0.005284999999999999,-0.17616666666666664
2023,8053,trading,商社卸売,78,87,165,0.12255200000000001,0.07427393939393939
2023,2780,retail,小売,81,71,152,0.025806000000000013,0.016977631578947376
2023,8354,banks,銀行,71,86,157,0.21377300000000002,0.1361611464968153
2023,8725,finance,金融,2,1,3,0.016199,0.5399666666666667
2023,8984,realestate,不動産,3,2,5,-0.011147,-0.22294000000000003
2024,2587,food,食品,105,97,202,-0.37585999999999997,-0.18606930693069304
2024,5020,energy,エネルギー,85,94,179,-0.005119000000000003,-0.0028597765363128505
2024,5233,construction,建設,0,2,2,0.019972,0.9986
2024,4004,materials,素材化学,2,1,3,-0.003141999999999999,-0.1047333333333333
2024,4536,pharma,医薬品,90,86,176,-0.24780799999999997,-0.14079999999999998
2024,7282,auto,自動車,83,77,160,0.13666600000000004,0.08541625000000003
2024,5713,steel,鉄鋼非鉄,3,2,5,0.008502,0.17004
2024,6113,machinery,機械,0,1,1,-0.000186,-0.0186
2024,6971,electronics,電機精密,2,3,5,0.045726,0.9145200000000001
2024,9984,it_services,情報通信,1,2,3,0.020969,0.6989666666666667
2024,9501,utilities,電力ガス,68,61,129,-0.16405599999999995,-0.12717519379844958
2024,9308,transport,運輸物流,0,2,2,0.009956,0.49779999999999996
2024,8053,trading,商社卸売,74,92,166,0.20447600000000005,0.12317831325301207
2024,2780,retail,小売,99,90,189,-0.36339099999999996,-0.19227037037037037
2024,8354,banks,銀行,92,94,186,0.18858999999999998,0.10139247311827955
2024,8725,finance,金融,2,3,5,-0.012265999999999999,-0.24532
2024,8984,realestate,不動産,2,1,3,0.025342000000000003,0.8447333333333334
2025,2587,food,食品,89,103,192,0.17356000000000002,0.09039583333333334
2025,5020,energy,エネルギー,91,76,167,0.044119,0.026418562874251497
2025,5233,construction,建設,3,1,4,0.025584000000000003,0.6396000000000001
2025,4004,materials,素材化学,5,1,6,-0.018376999999999998,-0.3062833333333333
2025,4536,pharma,医薬品,87,106,193,0.09514200000000005,0.049296373056994844
2025,7282,auto,自動車,86,69,155,0.11629400000000002,0.0750283870967742
2025,5713,steel,鉄鋼非鉄,0,1,1,0.013104,1.3104
2025,6113,machinery,機械,1,1,2,0.0053100000000000005,0.2655
2025,6971,electronics,電機精密,2,0,2,-0.007267,-0.36335
2025,9984,it_services,情報通信,2,1,3,-0.007936,-0.26453333333333334
2025,9501,utilities,電力ガス,61,73,134,-0.05513499999999998,-0.041145522388059685
2025,9308,transport,運輸物流,2,5,7,0.028555000000000004,0.4079285714285715
2025,8053,trading,商社卸売,86,77,163,0.07769100000000001,0.04766319018404908
2025,2780,retail,小売,72,92,164,0.08326900000000001,0.050773780487804884
2025,8354,banks,銀行,107,87,194,0.029512999999999977,0.015212886597938131
2025,8725,finance,金融,0,2,2,-0.010342,-0.5171
