,MOM
2013-07-22,-0.00298356517163172
2013-07-23,-0.0010189032826236795
2013-07-24,0.008343744035106864
2013-07-25,-0.01021778339197756
2013-07-26,-0.002876718129180599
2013-07-29,0.00336719842091536
2013-07-30,0.009050945540280839
2013-07-31,0.0051296510786982006
2013-08-01,-0.009166049032755221
2013-08-02,0.006614697238916381
2013-08-05,-0.00231996673990248
2013-08-06,0.010118451880520319
2013-08-07,0.0037056373183174014
2013-08-08,-0.004181264843357079
2013-08-09,0.0036968855232391807
2013-08-12,0.008901673347891829
2013-08-13,-0.00174576961401178
2013-08-14,0.0018070394085984397
2013-08-15,0.0028174855368418837
2013-08-16,-0.0018552957668901394
2013-08-19,0.00017012012407341404
2013-08-20,-0.00520029434485162
2013-08-21,0.00457033913185328
2013-08-22,-0.0008034163254449134
2013-08-23,0.00481240657154244
2013-08-26,-0.0012874012923104
2013-08-27,-0.0023300188228732198
2013-08-28,0.009763738104332679
2013-08-29,0.00789196359426742
2013-08-30,-0.00473626480655241
2013-09-03,-0.00020603776756795977
2013-09-04,0.00728769767190492
2013-09-05,-0.0031925512125337606
2013-09-06,-0.00150836393040602
2013-09-09,0.009487694837645
2013-09-10,-0.005101417433713703
2013-09-11,-0.02155258025255484
2013-09-12,0.0022025024771140803
2013-09-13,0.0033964075822417003
2013-09-17,-0.00743540425775948
2013-09-18,2.0596347369880152e-05
2013-09-19,0.009430684553570299
2013-09-20,-0.0020290964967504196
2013-09-24,2.8385710435006634e-05
2013-09-25,-0.00603857499954358
2013-09-26,0.004889610117409899
2013-09-27,-0.0004601514574149798
2013-09-30,-0.0034207144282163205
2013-10-01,-0.0021997767571589996
2013-10-02,-0.0023167929642025215
2013-10-03,-0.0026758179584312597
2013-10-04,0.0008506710427153597
2013-10-07,0.006373723491128141
2013-10-08,0.008728220529194242
2013-10-09,-0.002944621372563642
2013-10-10,-0.0014831322576390775
2013-10-11,-0.0025803463185907
2013-10-15,-0.004600124324126277
2013-10-16,-0.00089882666873938
2013-10-17,-0.0073131933018966006
2013-10-18,0.007672806978839181
2013-10-21,-0.0014284483795812607
2013-10-22,0.004600091551670256
2013-10-23,-0.000370990489163359
2013-10-24,0.004893411970654041
2013-10-25,-0.0063217320811350015
2013-10-28,0.009313365485161172
2013-10-29,-0.00238688594053236
2013-10-30,0.00012194684064772006
2013-10-31,-0.005600408445171288
2013-11-01,-0.006216683261855061
2013-11-05,-0.0021005208518178192
2013-11-06,0.002184944664553023
2013-11-07,0.005194887915207381
2013-11-08,0.00563319231655912
2013-11-11,0.009854441971058371
2013-11-12,0.004483558585166058
2013-11-13,-0.0017057520154048398
2013-11-14,0.0022187256065512393
2013-11-15,0.0026773945144224803
2013-11-18,-0.00298301605559672
2013-11-19,0.0030710750265294596
2013-11-20,-0.00430485648244766
2013-11-21,0.0014278886434630792
2013-11-22,-0.0037494594248764007
2013-11-25,-0.0036087548076722
2013-11-26,0.00129945892492198
2013-11-27,-0.0020361939390159
2013-11-29,-0.0005318507003757198
2013-12-02,3.5365497438080186e-05
2013-12-03,0.0025513406523410605
2013-12-04,-0.0033448443657868006
2013-12-05,0.0008693651754094001
2013-12-06,0.004422833748091361
2013-12-09,0.004128270045505941
2013-12-10,-0.0015565773599986597
2013-12-11,0.00217387880005152
2013-12-12,-0.0008703938701319
2013-12-13,-0.003270944949455
2013-12-16,-0.0005809166824194199
2013-12-17,0.00030275313836503986
2013-12-18,-0.0006046071333612596
2013-12-19,-0.005323532942055601
2013-12-20,-0.0015285820664597998
2013-12-24,0.007679878529108559
2013-12-26,-0.0008621906866157387
2013-12-27,-0.003938132808407081
2013-12-30,-0.0018882060955414857
2014-01-06,0.0035717203466291195
2014-01-07,0.0031886705880250004
2014-01-08,0.0034903134466153793
2014-01-09,-0.0017450390905748804
2014-01-10,0.0010278857974879603
2014-01-14,0.0100498811646683
2014-01-15,0.0023254765047363004
2014-01-16,-0.0076932875906817804
2014-01-17,0.0009312840882990333
2014-01-21,0.00392224029784066
2014-01-22,-0.0015501329697970136
2014-01-23,-0.0037614833319104994
2014-01-24,0.00038496397543990105
2014-01-27,0.00292824221130704
2014-01-28,-0.0014000430976638394
2014-01-29,-0.0017299461931795587
2014-01-30,0.0005812020387444211
2014-01-31,-0.006063944726408801
2014-02-03,0.008815247100393398
2014-02-04,0.012670123034736578
2014-02-05,-0.0015444763769666583
2014-02-06,-0.00293728062044524
2014-02-07,-0.00357884220985536
2014-02-10,-0.0023011992916322794
2014-02-12,-0.0024470212368800206
2014-02-13,0.003573000815841401
2014-02-14,0.00932884431350188
2014-02-18,0.0002474948185847009
2014-02-19,0.007548777732611849
2014-02-20,-0.007197513737579941
2014-02-21,-0.00287068253773236
2014-02-24,0.006682839546581791
2014-02-25,0.00331232296608832
2014-02-26,0.0005120666342328798
2014-02-27,0.00350056991079516
2014-02-28,0.0029971375517673397
2014-03-03,-0.00803085815451634
2014-03-04,-0.005231638477082861
2014-03-05,-0.0013958241691452997
2014-03-06,-0.01220817751081014
2014-03-07,0.0018226438146719496
2014-03-10,0.00582542934855596
2014-03-11,-0.00043330927925036
2014-03-12,0.0032939826410160406
2014-03-13,0.0013036381362461203
2014-03-14,-0.0019168710495174402
2014-03-17,0.0038712598117151002
2014-03-18,0.008774206316897452
2014-03-19,0.006297321073571319
2014-03-20,0.01044157428821816
2014-03-24,-0.011467065018987827
2014-03-25,-0.0018509627057594251
2014-03-26,0.00026988625033782317
2014-03-27,-0.010499274946461475
2014-03-28,-0.0012516674297223796
2014-03-31,-0.00550268364036991
2014-04-01,0.00663671189691184
2014-04-02,-0.0059478416102441
2014-04-03,0.004194938923845801
2014-04-04,-0.0050446404269811
2014-04-07,0.01439496761925087
2014-04-08,0.00684841633195262
2014-04-09,0.0081428438091347
2014-04-10,0.013015906062813519
2014-04-11,-0.00633227594081174
2014-04-14,0.002912949801821498
2014-04-15,-0.0021203377243626206
2014-04-16,0.004110441664846561
2014-04-17,0.0026529077733456205
2014-04-21,0.0137286972967873
2014-04-22,0.0029693807480827197
2014-04-23,-0.0017016874832959396
2014-04-24,0.002469915942143075
2014-04-25,0.00260746865465864
2014-04-28,0.0029088588334818507
2014-04-30,0.0008989220999486501
2014-05-01,-0.009880177987597022
2014-05-02,-0.00390876627388038
2014-05-07,-0.00473429968860044
2014-05-08,-0.00318095181699216
2014-05-09,-0.006283221900486266
2014-05-12,0.004668015009473554
2014-05-13,-0.0007443374491921599
2014-05-14,-0.00558384570370706
2014-05-15,-0.0038179625877950204
2014-05-16,0.0022324841551043004
2014-05-19,0.0059385589315965005
2014-05-20,-0.004298399966990446
2014-05-21,0.00658901867825654
2014-05-22,-0.0037991575042929
2014-05-23,0.0022374544028704
2014-05-27,0.00365988780717874
2014-05-28,0.00397487828831682
2014-05-29,-0.004755491467123861
2014-05-30,-0.00015353930516102021
2014-06-02,0.007848515752752699
2014-06-03,-0.00444398605329574
2014-06-04,-0.0036791336122194
2014-06-05,-0.00237892510569538
2014-06-06,0.005950840861350479
2014-06-09,0.0016581531664160393
2014-06-10,0.0030652052378173996
2014-06-11,0.0022915041016097
2014-06-12,-0.00043887859711070005
2014-06-13,-0.0028418720540256005
2014-06-16,0.003607645352745
2014-06-17,-0.00127956254272044
2014-06-18,0.00214210927272028
2014-06-19,-0.0025960425541354994
2014-06-20,-0.00813196772408002
2014-06-23,0.00280824857310772
2014-06-24,-0.0016266807848893
2014-06-25,-0.00101083130045782
2014-06-26,-0.0011616574235431601
2014-06-27,-0.0032207622995802515
2014-06-30,-0.00539787873274602
2014-07-01,0.003968801893854707
2014-07-02,0.00178490313206944
2014-07-03,-0.00282021009336006
2014-07-07,-0.00011237993413114019
2014-07-08,-0.0010758456334844198
2014-07-09,-0.0022168451908956203
2014-07-10,0.00027658981765652
2014-07-11,0.005374200690311179
2014-07-14,0.0004615825649684599
2014-07-15,-0.00337181932297504
2014-07-16,-0.0002629122738627475
2014-07-17,0.0026859412067763272
2014-07-18,-0.001380266348869012
2014-07-22,0.0030152103184730803
2014-07-23,-0.00139956846803374
2014-07-24,-0.0016639393386116397
2014-07-25,-0.0015915422266228004
2014-07-28,0.0029996909751546846
2014-07-29,-0.00131305868320148
2014-07-30,-0.00015605051369877972
2014-07-31,-0.0007880987850613199
2014-08-01,-0.002833652240523833
2014-08-04,-0.00291135557042134
2014-08-05,0.0018779892702369795
2014-08-06,0.0059023344353457
2014-08-07,-0.0025758515890309
2014-08-08,0.0070061153307969595
2014-08-11,-0.0033766764717924596
2014-08-12,-0.00030105768356733986
2014-08-13,0.0008286261174102802
2014-08-14,0.003382535416620993
2014-08-15,-0.00248203173960314
2014-08-18,0.010282141727573321
2014-08-19,0.0015964833257054397
2014-08-20,-0.0015262799835487
2014-08-21,-0.00596738332801024
2014-08-22,0.00249083415877602
2014-08-25,0.0027455519886931522
2014-08-26,0.0007071147016532997
2014-08-27,0.005595990919346041
2014-08-28,0.0004331432610189801
2014-08-29,-0.004698099031731159
2014-09-02,-0.0008848852111661958
2014-09-03,-9.430219188908025e-05
2014-09-04,-0.003874041425940041
2014-09-05,-0.00010713150039359711
2014-09-08,-0.00018425493633775648
2014-09-09,0.0018462140228251802
2014-09-10,-0.0050210850087993395
2014-09-11,-0.0029012985996120597
2014-09-12,0.00010969724290163995
2014-09-16,0.00485939453755274
2014-09-17,0.0029274464048178804
2014-09-18,0.0028967392621115596
2014-09-19,0.00021112317188284012
2014-09-22,0.004863372768957028
2014-09-24,0.008648630208486819
2014-09-25,-0.004203379312429799
2014-09-26,0.0018081145787355534
2014-09-29,0.0009360343122810995
2014-09-30,0.0006504641860842408
2014-10-01,0.005731352166146621
2014-10-02,0.004225300817371099
2014-10-03,0.00941151012274338
2014-10-06,0.01251621653707912
2014-10-07,0.002047865756358311
2014-10-08,0.0019324956956700908
2014-10-09,-0.00539594641614922
2014-10-10,0.00652751354616222
2014-10-14,0.002310523351882369
2014-10-15,-0.0022817693605959597
2014-10-16,0.01180684809030434
2014-10-17,-0.017983699783055942
2014-10-20,-0.0038756475969742204
2014-10-21,0.004955584018808119
2014-10-22,0.0025845792712889397
2014-10-23,-0.002086863681822329
2014-10-24,0.005894681048748121
2014-10-27,0.0003321866208060997
2014-10-28,0.00533740249929294
2014-10-29,-0.005018815748468999
2014-10-30,0.0024754373083637196
2014-10-31,-0.021054959093193267
2014-11-04,0.01940122101924006
2014-11-05,0.008819655267125559
2014-11-06,-0.011212784439901612
2014-11-07,-0.0013589220297218602
2014-11-10,-0.007355664082842887
2014-11-11,0.003102935133628887
2014-11-12,-0.00333382679614316
2014-11-13,0.0040737722230061125
2014-11-14,0.004145095213048286
2014-11-17,-0.0102390099469709
2014-11-18,0.0012843235214372193
2014-11-19,0.0030947595489173602
2014-11-20,-0.008649262994424579
2014-11-21,-0.0053755978254885605
2014-11-25,0.00441468978227062
2014-11-26,0.0029049084691211
2014-11-28,0.00405808350945938
2014-12-01,0.00507285006508448
2014-12-02,-0.0017775832765328397
2014-12-03,-0.0003015819216974399
2014-12-04,0.0013027021201922797
2014-12-05,0.00229982086910738
2014-12-08,-0.009307930127971077
2014-12-09,-0.0027259067789626003
2014-12-10,-0.00809421693091356
2014-12-11,0.030617052669177747
2014-12-12,0.0005191443151780191
2014-12-15,-0.0025871529198486795
2014-12-16,0.0074499182499699
2014-12-17,-0.0020935670750640584
2014-12-18,-0.008559215706486519
2014-12-19,-0.012833003515121521
2014-12-22,-0.011820459718522632
2014-12-24,0.0051991325800168795
2014-12-26,0.01157252502788788
2014-12-29,0.003505086913705739
2014-12-30,-0.0068613067662443
2015-01-05,0.0005052762867675401
2015-01-06,0.004635488957376539
2015-01-07,-2.1738545561839073e-05
2015-01-08,0.00628881462551128
2015-01-09,-0.00024970654287538065
2015-01-13,0.0030696539519623
2015-01-14,0.00394963111749204
2015-01-15,0.0060617000837582605
2015-01-16,0.0016248413375439202
2015-01-20,-0.0008692956380065399
2015-01-21,0.0016916118014445594
2015-01-22,-0.003651715156934493
2015-01-23,0.004103498793720881
2015-01-26,0.00126188242518624
2015-01-27,0.0020654269690454407
2015-01-28,0.00953412344747424
2015-01-29,0.00217033678000336
2015-01-30,-0.0022249957755684597
2015-02-02,0.00869663416262058
2015-02-03,-0.016642125486975683
2015-02-04,-0.0006034547829218808
2015-02-05,-0.01196665931744834
2015-02-06,-0.00054453435549192
2015-02-09,0.0033754717050124604
2015-02-10,-0.008521088883851481
